RID AGE  	INCOME    STUDENT  CREDIT_RATING  CLASS
1   youth	high       no      fair           no
2   youth	high       no      excellent      no
3   middleaged  high       no      fair           yes
4   senior	medium     no      fair           yes
5   senior      low        yes     fair           yes
6   senior      low        yes     excellent      no
7   middleaged  low        yes     excellent      yes
8   youth       medium     no      fair           no
9   youth       low        yes     fair           yes
10  senior      medium     yes     fair           yes
11  youth       medium     yes     excellent      yes
12  middleaged  medium     no      excellent      yes
13  middleaged  high       yes     fair           yes
14  senior      medium     no      excellent      no
